"","position","team","round"
"599",19,"avai",30
"600",20,"juventude",30
"601",1,"palmeiras",31
"602",2,"internacional",31
"603",3,"corinthians",31
"604",4,"flamengo",31
"605",5,"fluminense",31
"606",6,"athletico-paranaense",31
"607",7,"atletico-mineiro",31
"608",8,"america-mineiro",31
"609",9,"botafogo",31
"610",10,"sao-paulo",31
"611",11,"fortaleza",31
"612",12,"santos",31
"613",13,"red-bull-bragantino",31
"614",14,"goias",31
"615",15,"coritiba",31
"616",16,"ceara",31
"617",17,"cuiaba",31
"618",18,"atletico-goianiense",31
"619",19,"avai",31
"620",20,"juventude",31
"621",1,"palmeiras",32
"622",2,"internacional",32
"623",3,"flamengo",32
"624",4,"corinthians",32
"625",5,"fluminense",32
"626",6,"athletico-paranaense",32
"627",7,"atletico-mineiro",32
"628",8,"america-mineiro",32
"629",9,"fortaleza",32
"630",10,"sao-paulo",32
"631",11,"botafogo",32
"632",12,"santos",32
"633",13,"goias",32
"634",14,"red-bull-bragantino",32
"635",15,"coritiba",32
"636",16,"ceara",32
"637",17,"cuiaba",32
"638",18,"atletico-goianiense",32
"639",19,"avai",32
"640",20,"juventude",32
"641",1,"palmeiras",33
"642",2,"internacional",33
"643",3,"flamengo",33
"644",4,"corinthians",33
"645",5,"fluminense",33
"646",6,"athletico-paranaense",33
"647",7,"atletico-mineiro",33
"648",8,"sao-paulo",33
"649",9,"america-mineiro",33
"650",10,"fortaleza",33
"651",11,"botafogo",33
"652",12,"santos",33
"653",13,"goias",33
"654",14,"red-bull-bragantino",33
"655",15,"coritiba",33
"656",16,"ceara",33
"657",17,"atletico-goianiense",33
"658",18,"cuiaba",33
"659",19,"avai",33
"660",20,"juventude",33
"661",1,"palmeiras",34
"662",2,"internacional",34
"663",3,"flamengo",34
"664",4,"fluminense",34
"665",5,"corinthians",34
"666",6,"athletico-paranaense",34
"667",7,"atletico-mineiro",34
"668",8,"sao-paulo",34
"669",9,"fortaleza",34
"670",10,"botafogo",34
"671",11,"america-mineiro",34
"672",12,"santos",34
"673",13,"goias",34
"674",14,"red-bull-bragantino",34
"675",15,"coritiba",34
"676",16,"cuiaba",34
"677",17,"ceara",34
"678",18,"atletico-goianiense",34
"679",19,"avai",34
"680",20,"juventude",34
"681",1,"palmeiras",35
"682",2,"internacional",35
"683",3,"flamengo",35
"684",4,"fluminense",35
"685",5,"corinthians",35
"686",6,"athletico-paranaense",35
"687",7,"atletico-mineiro",35
"688",8,"sao-paulo",35
"689",9,"america-mineiro",35
"690",10,"fortaleza",35
"691",11,"botafogo",35
"692",12,"santos",35
"693",13,"red-bull-bragantino",35
"694",14,"goias",35
"695",15,"coritiba",35
"696",16,"cuiaba",35
"697",17,"ceara",35
"698",18,"atletico-goianiense",35
"699",19,"avai",35
"700",20,"juventude",35
"701",1,"palmeiras",36
"702",2,"internacional",36
"703",3,"fluminense",36
"704",4,"corinthians",36
"705",5,"flamengo",36
"706",6,"athletico-paranaense",36
"707",7,"america-mineiro",36
"708",8,"atletico-mineiro",36
"709",9,"sao-paulo",36
"710",10,"botafogo",36
"711",11,"fortaleza",36
"712",12,"santos",36
"713",13,"goias",36
"714",14,"red-bull-bragantino",36
"715",15,"coritiba",36
"716",16,"cuiaba",36
"717",17,"atletico-goianiense",36
"718",18,"ceara",36
"719",19,"avai",36
"720",20,"juventude",36
"721",1,"palmeiras",37
"722",2,"internacional",37
"723",3,"fluminense",37
"724",4,"corinthians",37
"725",5,"flamengo",37
"726",6,"athletico-paranaense",37
"727",7,"atletico-mineiro",37
"728",8,"botafogo",37
"729",9,"america-mineiro",37
"730",10,"fortaleza",37
"731",11,"sao-paulo",37
"732",12,"santos",37
"733",13,"goias",37
"734",14,"red-bull-bragantino",37
"735",15,"coritiba",37
"736",16,"cuiaba",37
"737",17,"atletico-goianiense",37
"738",18,"ceara",37
"739",19,"avai",37
"740",20,"juventude",37
"741",1,"palmeiras",38
"742",2,"internacional",38
"743",3,"fluminense",38
"744",4,"corinthians",38
"745",5,"flamengo",38
"746",6,"athletico-paranaense",38
"747",7,"atletico-mineiro",38
"748",8,"fortaleza",38
"749",9,"sao-paulo",38
"750",10,"america-mineiro",38
"751",11,"botafogo",38
"752",12,"santos",38
"753",13,"goias",38
"754",14,"red-bull-bragantino",38
"755",15,"coritiba",38
"756",16,"cuiaba",38
"757",17,"ceara",38
"758",18,"atletico-goianiense",38
"759",19,"avai",38
"760",20,"juventude",38
